preprocessedSmiles;Molecule ChEMBL ID;y_true_label
O=C(O)C1CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1;CHEMBL2037079;0
CCCOC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O;CHEMBL521462;1
Cc1oc(-c2ccccc2)nc1CCOc1ccc(Cc2c(C(=O)O)cnn2-c2ccccc2)cc1;CHEMBL473953;0
COc1ccc2c(c1)c(Cc1ccccc1C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;CHEMBL361427;0
COC(Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)c(Cl)c1)C(=O)O;CHEMBL181644;1
CCCc1cc(C(=O)C(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1;CHEMBL371195;0
CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(CC(C)C)cc3Cl)cc2O1;CHEMBL179622;0
CCCCCS(=O)(=O)NC(=O)C=Cc1ccc(OCCOC)cc1Oc1ncc(C(F)(F)F)cc1Cl;CHEMBL2024606;1
Cc1cc(Oc2cccc(CNC(=O)c3cc4cc(Cl)ccc4[nH]3)c2)ccc1CCC(=O)O;CHEMBL237277;1
CCCc1cc(OC2CCCC2)ccc1OCCCOc1cccc(-c2sc(=O)[nH]c2O)c1;CHEMBL2037181;1
COC(Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)cc1)C(=O)O;CHEMBL363532;1
O=C(O)Cn1ccc2ccc(OCCCOc3ccc(C(=O)c4ccc(F)cc4)cc3)cc21;CHEMBL201581;0
CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2;CHEMBL111161;0
CCCc1cc(C=C2CCCCC2)ccc1OCCCOc1cccc(-c2sc(=O)[nH]c2O)c1;CHEMBL117738;1
Cc1ccc(NC(=O)c2cccc(S(=O)(=O)n3ccc4ccc(C)cc43)c2)c(C(=O)O)c1;CHEMBL522575;0
CCC(NC(=O)c1ccc2cc(C)n(Cc3ccc(-c4ccccc4C(=O)O)cc3)c2c1)c1ccccc1;CHEMBL606425;1
CCC(NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccccc1;CHEMBL602468;1
CCCc1c(OCCCOc2ccc3ccn(CC(=O)O)c3c2)ccc2cc(C(=O)c3ccccc3)ccc12;CHEMBL202246;0
Cc1cc2c(CC(=O)O)csc2cc1OCc1sc(-c2ccc(C(F)(F)F)cc2)nc1C;CHEMBL391084;0
O=S(=O)(C=Cc1ccccc1)Oc1ccccc1;CHEMBL443343;0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(CN(CC(=O)O)Cc2ccccc2)cc1;CHEMBL371120;0
Cc1cc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c(Cl)cc1OCC(=O)O;CHEMBL391478;0
CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1OC(C(=O)O)c1ccc(CC(C)C)cc1;CHEMBL365097;1
CCCCCCC=C(CCCCCCCC(=O)O)[N+](=O)[O-];CHEMBL560513;1
CCCCCCCCC=C(CCCCCCCC(=O)O)[N+](=O)[O-];CHEMBL550762;1
CCCCCCCCC(=CCCCCCCCC(=O)O)[N+](=O)[O-];CHEMBL561371;0
Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3Cl)c2)ccc1OC(C)(C)C(=O)O;CHEMBL393938;1
CCCc1c(OCCCOc2cccc3c2ccn3CC(=O)O)ccc2c(-c3ccccc3)noc12;CHEMBL197496;1
CCCc1c(OCCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(C#N)c[nH]c12;CHEMBL371087;1
Cc1ccc(C(=O)NCc2cccc(Oc3ccc(OC(C)(C)C(=O)O)c(C)c3)c2)c(C)c1;CHEMBL393939;1
Cc1oc(-c2ccccc2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1;CHEMBL255389;1
CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(C(C)C)cc3Cl)cc2O1;CHEMBL361166;0
COc1ccc(C(=O)n2c(C)c(Cc3ccccc3OC(C)(C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1;CHEMBL361395;1
COc1ccc(C(=O)n2c(C)c(Cc3cccc(OC(C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1;CHEMBL359548;1
